timestamp,lot_id,wafer_id,equipment,pressure,temperature,gas_flow,rf_power,etch_time,cd,defect_rate,yield
2026-08-01T00:00:00,LOT_X01,WF_0001,EQP_X,99.78,219.83,49.78,1214.0,59.81,44.401,1.6,95.97
2026-08-01T03:00:00,LOT_X01,WF_0002,EQP_X,99.67,220.12,50.46,1223.3,60.98,45.044,1.279,96.07
2026-08-01T06:00:00,LOT_X01,WF_0003,EQP_X,100.37,221.31,50.08,1197.9,60.8,44.419,1.406,96.56
2026-08-01T09:00:00,LOT_X01,WF_0004,EQP_X,101.31,219.76,50.75,1205.0,61.17,44.555,1.67,94.98
2026-08-01T12:00:00,LOT_X01,WF_0005,EQP_X,96.07,219.39,48.17,1217.5,61.0,44.512,1.754,95.37
2026-08-01T15:00:00,LOT_X01,WF_0006,EQP_X,99.87,219.71,50.23,1216.4,60.96,45.14,1.695,96.2
2026-08-01T18:00:00,LOT_X01,WF_0007,EQP_X,99.06,219.28,49.06,1210.0,59.62,45.934,1.254,96.07
2026-08-01T21:00:00,LOT_X01,WF_0008,EQP_X,101.15,221.42,51.01,1216.7,62.14,44.962,1.073,96.39
2026-08-01T00:00:00,LOT_Y01,WF_0009,EQP_Y,101.43,218.56,50.07,1205.1,59.53,45.289,1.674,96.86
2026-08-01T03:00:00,LOT_Y01,WF_0010,EQP_Y,100.93,219.39,48.88,1183.4,61.43,44.773,1.479,96.47
2026-08-01T06:00:00,LOT_Y01,WF_0011,EQP_Y,98.91,219.71,46.32,1178.4,59.15,45.166,1.858,95.7
2026-08-01T09:00:00,LOT_Y01,WF_0012,EQP_Y,100.39,220.17,52.17,1217.9,60.41,44.596,1.771,95.96
2026-08-01T12:00:00,LOT_Y01,WF_0013,EQP_Y,101.84,219.97,53.91,1192.8,62.39,45.046,1.345,95.55
2026-08-01T15:00:00,LOT_Y01,WF_0014,EQP_Y,99.77,221.42,51.63,1213.8,56.44,45.284,1.667,95.72
2026-08-01T18:00:00,LOT_Y01,WF_0015,EQP_Y,99.06,220.0,53.45,1178.9,59.36,45.545,1.366,96.27
2026-08-01T21:00:00,LOT_Y01,WF_0016,EQP_Y,100.15,218.76,50.44,1175.8,61.33,45.001,2.185,95.33
2026-08-02T00:00:00,LOT_X02,WF_0017,EQP_X,102.05,218.7,49.76,1206.5,62.62,44.328,1.797,95.69
2026-08-02T03:00:00,LOT_X02,WF_0018,EQP_X,102.3,220.71,50.1,1189.6,58.13,45.078,1.442,96.89
2026-08-02T06:00:00,LOT_X02,WF_0019,EQP_X,99.08,220.32,46.86,1192.1,60.39,45.33,1.934,95.58
2026-08-02T09:00:00,LOT_X02,WF_0020,EQP_X,98.32,220.46,51.03,1209.8,58.95,45.453,1.526,96.56
2026-08-02T12:00:00,LOT_X02,WF_0021,EQP_X,101.91,220.61,50.57,1243.1,60.37,44.882,1.534,96.56
2026-08-02T15:00:00,LOT_X02,WF_0022,EQP_X,100.18,220.52,52.39,1189.7,57.41,45.12,1.569,95.81
2026-08-02T18:00:00,LOT_X02,WF_0023,EQP_X,101.31,220.61,48.01,1210.4,59.71,44.407,1.636,95.76
2026-08-02T21:00:00,LOT_X02,WF_0024,EQP_X,98.88,220.52,50.98,1188.4,60.6,45.406,1.286,96.76
2026-08-02T00:00:00,LOT_Y02,WF_0025,EQP_Y,100.0,222.27,46.28,1213.9,59.54,44.96,2.07,95.39
2026-08-02T03:00:00,LOT_Y02,WF_0026,EQP_Y,103.36,219.56,50.7,1190.2,58.96,45.025,1.415,95.81
2026-08-02T06:00:00,LOT_Y02,WF_0027,EQP_Y,96.84,222.0,49.67,1234.9,58.49,45.117,2.449,94.39
2026-08-02T09:00:00,LOT_Y02,WF_0028,EQP_Y,97.76,219.45,50.94,1213.9,61.94,44.897,1.019,96.75
2026-08-02T12:00:00,LOT_Y02,WF_0029,EQP_Y,101.86,220.47,46.09,1199.3,62.1,45.851,1.669,95.78
2026-08-02T15:00:00,LOT_Y02,WF_0030,EQP_Y,98.14,219.16,50.09,1210.1,60.87,44.809,1.154,96.38
2026-08-02T18:00:00,LOT_Y02,WF_0031,EQP_Y,98.26,220.64,45.38,1193.3,60.67,45.609,1.521,96.72
2026-08-02T21:00:00,LOT_Y02,WF_0032,EQP_Y,99.4,219.26,48.65,1230.5,61.49,45.195,2.499,94.74
2026-08-03T00:00:00,LOT_X03,WF_0033,EQP_X,100.93,220.31,49.56,1246.3,62.26,44.44,1.38,96.46
2026-08-03T03:00:00,LOT_X03,WF_0034,EQP_X,101.17,218.65,45.49,1161.9,59.89,44.959,1.604,95.47
2026-08-03T06:00:00,LOT_X03,WF_0035,EQP_X,98.16,217.98,50.66,1207.4,61.49,45.316,1.443,97.01
2026-08-03T09:00:00,LOT_X03,WF_0036,EQP_X,99.8,219.34,48.96,1188.3,56.75,45.063,1.575,95.96
2026-08-03T12:00:00,LOT_X03,WF_0037,EQP_X,98.93,220.37,53.43,1200.8,59.24,44.763,1.479,95.65
2026-08-03T15:00:00,LOT_X03,WF_0038,EQP_X,99.81,220.06,53.69,1218.9,61.55,44.715,1.701,95.38
2026-08-03T18:00:00,LOT_X03,WF_0039,EQP_X,100.47,220.42,48.47,1240.0,60.85,44.239,1.666,95.7
2026-08-03T21:00:00,LOT_X03,WF_0040,EQP_X,100.0,220.47,50.78,1159.2,58.26,45.309,1.89,96.62
2026-08-03T00:00:00,LOT_Y03,WF_0041,EQP_Y,102.7,217.94,51.54,1161.7,62.42,45.101,1.158,97.23
2026-08-03T03:00:00,LOT_Y03,WF_0042,EQP_Y,100.97,218.11,50.59,1185.4,60.17,44.814,1.912,94.73
2026-08-03T06:00:00,LOT_Y03,WF_0043,EQP_Y,100.48,221.81,48.35,1204.2,60.3,44.724,1.694,95.91
2026-08-03T09:00:00,LOT_Y03,WF_0044,EQP_Y,98.58,221.76,51.58,1196.7,59.04,44.686,1.869,95.62
2026-08-03T12:00:00,LOT_Y03,WF_0045,EQP_Y,100.69,219.82,51.23,1197.7,61.15,44.927,1.749,96.08
2026-08-03T15:00:00,LOT_Y03,WF_0046,EQP_Y,99.83,219.14,48.12,1185.2,58.52,45.346,1.486,97.06
2026-08-03T18:00:00,LOT_Y03,WF_0047,EQP_Y,103.42,220.02,46.9,1192.4,59.89,44.405,1.425,95.82
2026-08-03T21:00:00,LOT_Y03,WF_0048,EQP_Y,99.31,219.23,48.48,1235.7,59.76,44.668,1.388,96.89
2026-08-04T00:00:00,LOT_X04,WF_0049,EQP_X,98.97,220.48,51.46,1215.0,62.1,44.78,1.84,95.34
